Year,AGE,Count
1960,UNDER 15,443
1960,15-19,54010
1960,20-24,128313
1960,25-29,94704
1960,30-34,57569
1960,35-39,29540
1960,40-44,6865
1960,45 AND OVER,338
1960,UNKNOWN,17
1961,UNDER 15,487
1961,15-19,57040
1961,20-24,132238
1961,25-29,96532
1961,30-34,57559
1961,35-39,29771
1961,40-44,7204
1961,45 AND OVER,341
1961,UNKNOWN,26
1962,UNDER 15,536
1962,15-19,57631
1962,20-24,134639
1962,25-29,94653
1962,30-34,54619
1962,35-39,28689
1962,40-44,7238
1962,45 AND OVER,322
1962,UNKNOWN,20
1963,UNDER 15,509
1963,15-19,57068
1963,20-24,139040
1963,25-29,95284
1963,30-34,53837
1963,35-39,27281
1963,40-44,7121
1963,45 AND OVER,328
1963,UNKNOWN,37
1964,UNDER 15,525
1964,15-19,57248
1964,20-24,137151
1964,25-29,93823
1964,30-34,52256
1964,35-39,26171
1964,40-44,7056
1964,45 AND OVER,326
1964,UNKNOWN,31
1965,UNDER 15,531
1965,15-19,57700
1965,20-24,128304
1965,25-29,88199
1965,30-34,48446
1965,35-39,24529
1965,40-44,6965
1965,45 AND OVER,369
1965,UNKNOWN,31
1966,UNDER 15,572
1966,15-19,59517
1966,20-24,122823
1966,25-29,83010
1966,30-34,43441
1966,35-39,21702
1966,40-44,6194
1966,45 AND OVER,341
1966,UNKNOWN,23
1967,UNDER 15,635
1967,15-19,58608
1967,20-24,126597
1967,25-29,83140
1967,30-34,41664
1967,35-39,19841
1967,40-44,5729
1967,45 AND OVER,335
1967,UNKNOWN,35
1968,UNDER 15,674
1968,15-19,57722
1968,20-24,128586
1968,25-29,88215
1968,30-34,40450
1968,35-39,18134
1968,40-44,5093
1968,45 AND OVER,310
1968,UNKNOWN,37
1969,UNDER 15,681
1969,15-19,58753
1969,20-24,133409
1969,25-29,95621
1969,30-34,41847
1969,35-39,17569
1969,40-44,4731
1969,45 AND OVER,282
1969,UNKNOWN,44
1970,UNDER 15,744
1970,15-19,61013
1970,20-24,137283
1970,25-29,99022
1970,30-34,43005
1970,35-39,16916
1970,40-44,4369
1970,45 AND OVER,254
1970,UNKNOWN,46
1971,UNDER 15,750
1971,15-19,53715
1971,20-24,125177
1971,25-29,91849
1971,30-34,39460
1971,35-39,14741
1971,40-44,3866
1971,45 AND OVER,222
1971,UNKNOWN,46
1972,UNDER 15,820
1972,15-19,52329
1972,20-24,110639
1972,25-29,88679
1972,30-34,37600
1972,35-39,12876
1972,40-44,3214
1972,45 AND OVER,178
1972,UNKNOWN,40
1973,UNDER 15,740
1973,15-19,50907
1973,20-24,105361
1973,25-29,88232
1973,30-34,37383
1973,35-39,12147
1973,40-44,2831
1973,45 AND OVER,196
1973,UNKNOWN,37
1974,UNDER 15,824
1974,15-19,51929
1974,20-24,109149
1974,25-29,94075
1974,30-34,40249
1974,35-39,12567
1974,40-44,2672
1974,45 AND OVER,158
1974,UNKNOWN,45
1975,UNDER 15,869
1975,15-19,52528
1975,20-24,109563
1975,25-29,97025
1975,30-34,41771
1975,35-39,12592
1975,40-44,2756
1975,45 AND OVER,174
1975,UNKNOWN,40
1976,UNDER 15,846
1976,15-19,52854
1976,20-24,113994
1976,25-29,102354
1976,30-34,45552
1976,35-39,13677
